run_id,task,variable,config_id,activation,seed,repetition,run_kind,phase,purpose,status,branch,commit,base_commit,code_state_hash,config_hash,environment_hash,dataset_hash,split_seed,split_hash,initial_weights_hash,final_weights_hash,epochs,optimizer,learning_rate,train_samples,val_samples,parameters,train_loss_final,val_loss_final,train_accuracy,val_accuracy,test_accuracy,flops_per_epoch,flops_total,gflops_total,inference_flops_total,inference_flops_per_sample,checkpoint_path,checkpoint_hash,log_path,notes
F-RELU-s0-r1,adult_binary_classification,V1_activation_family,F-RELU,relu,0,1,scientific,v1_train_validation,primary,completed_valid,q01-ativacoes-adult,5ae67abc0bdd573291b829ebe5d1a05a10561c3b,14e65c20c2312e66ba76e54431b396f60ce65e10,9456044f69d315a04dc7064bbffd57f71b067575c0f2ea24e518c291eddb8c92,8f4e5174a3e562c612f60bf6f45c78ea02a83b77e52e2ac37ca7cc09e25bcfeb,3f27a3e75660eb9ecc892829a79d72887d55601eb71e3bf128b8162344f7142e,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,9b1fe0ce77aacdb4ec92847cb6026b61ec028f18a3948ee85873448d664f4596,f2548c3a40840ca6d095467e47ac18c1bab01b91a50c2680e39ecad7a2229b15,100,Adam,0.01,26049,6512,7106,0.27912845022983684,0.32165664450206893,0.8722023878075934,0.8487407862407862,,842375505,84237550500,84.2375505,92965312,14276.0,experiments/checkpoints/F-RELU-s0-r1.npz,ee4e94545ecc7bb90d2c8b0521b34f3d1961bc213500e97fecc6917fa0e48704,experiments/logs/F-RELU-s0-r1.jsonl,official_test_not_loaded
F-RELU-s0-r2,adult_binary_classification,V1_activation_family,F-RELU,relu,0,2,scientific,v1_train_validation,determinism_repeat,completed_valid,q01-ativacoes-adult,5ae67abc0bdd573291b829ebe5d1a05a10561c3b,14e65c20c2312e66ba76e54431b396f60ce65e10,9456044f69d315a04dc7064bbffd57f71b067575c0f2ea24e518c291eddb8c92,8f4e5174a3e562c612f60bf6f45c78ea02a83b77e52e2ac37ca7cc09e25bcfeb,3f27a3e75660eb9ecc892829a79d72887d55601eb71e3bf128b8162344f7142e,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,9b1fe0ce77aacdb4ec92847cb6026b61ec028f18a3948ee85873448d664f4596,f2548c3a40840ca6d095467e47ac18c1bab01b91a50c2680e39ecad7a2229b15,100,Adam,0.01,26049,6512,7106,0.27912845022983684,0.32165664450206893,0.8722023878075934,0.8487407862407862,,842375505,84237550500,84.2375505,92965312,14276.0,experiments/checkpoints/F-RELU-s0-r2.npz,4947377540f8d6104a3476b47f89c9f807275c74b4b1c8e4257bff16bafcb611,experiments/logs/F-RELU-s0-r2.jsonl,official_test_not_loaded
F-RELU-s2-r1,adult_binary_classification,V1_activation_family,F-RELU,relu,2,1,scientific,v1_train_validation,primary,completed_valid,q01-ativacoes-adult,5ae67abc0bdd573291b829ebe5d1a05a10561c3b,14e65c20c2312e66ba76e54431b396f60ce65e10,9456044f69d315a04dc7064bbffd57f71b067575c0f2ea24e518c291eddb8c92,8f4e5174a3e562c612f60bf6f45c78ea02a83b77e52e2ac37ca7cc09e25bcfeb,3f27a3e75660eb9ecc892829a79d72887d55601eb71e3bf128b8162344f7142e,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,0310d0d1c0c02d2fc0754b90f2d9b35150972361d64c9333bf52541163c26a29,5cc578911a2ee1df45b1a7a0fdb6cf81e3fe678b8ef57605ab2566a234607124,100,Adam,0.01,26049,6512,7106,0.282462055787954,0.31670924291223745,0.8718184959115514,0.8516584766584766,,842375505,84237550500,84.2375505,92965312,14276.0,experiments/checkpoints/F-RELU-s2-r1.npz,46bc98999c08816ac6fba93f94c7de1b8c6d396d9b767225f83087adbd2d4d94,experiments/logs/F-RELU-s2-r1.jsonl,official_test_not_loaded
F-RELU-s1-r1,adult_binary_classification,V1_activation_family,F-RELU,relu,1,1,scientific,v1_train_validation,primary,completed_valid,q01-ativacoes-adult,5ae67abc0bdd573291b829ebe5d1a05a10561c3b,14e65c20c2312e66ba76e54431b396f60ce65e10,9456044f69d315a04dc7064bbffd57f71b067575c0f2ea24e518c291eddb8c92,8f4e5174a3e562c612f60bf6f45c78ea02a83b77e52e2ac37ca7cc09e25bcfeb,3f27a3e75660eb9ecc892829a79d72887d55601eb71e3bf128b8162344f7142e,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,d34dd1e6783a999faff6e235aefd23cd1e85a06bbe126423aec25bb1d8f867ae,0045ffdc4a2f8c5cff369551d28e8d8c24ab9d0ba11fb64c7f9113d47ff40c74,100,Adam,0.01,26049,6512,7106,0.278274383744761,0.3187691468076119,0.8740066797189912,0.851044226044226,,842375505,84237550500,84.2375505,92965312,14276.0,experiments/checkpoints/F-RELU-s1-r1.npz,0d4ae774ef0487f9edaa35a7095815bfcc128c0bcc7732f7447fbd6974e6f3b7,experiments/logs/F-RELU-s1-r1.jsonl,official_test_not_loaded
F-SIGMOID-s0-r1,adult_binary_classification,V1_activation_family,F-SIGMOID,sigmoid,0,1,scientific,v1_train_validation,primary,completed_valid,q01-ativacoes-adult,5ae67abc0bdd573291b829ebe5d1a05a10561c3b,14e65c20c2312e66ba76e54431b396f60ce65e10,9456044f69d315a04dc7064bbffd57f71b067575c0f2ea24e518c291eddb8c92,8f4e5174a3e562c612f60bf6f45c78ea02a83b77e52e2ac37ca7cc09e25bcfeb,3f27a3e75660eb9ecc892829a79d72887d55601eb71e3bf128b8162344f7142e,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,9b1fe0ce77aacdb4ec92847cb6026b61ec028f18a3948ee85873448d664f4596,a1361f7b68a446c895e2b83ae289cba1dc576aa9554dc3cb1cc6b6b8b54d7e3e,100,Adam,0.01,26049,6512,7106,0.31434082787480316,0.3269473499284063,0.8537371876079696,0.8473587223587223,,848627217,84862721700,84.8627217,94215616,14468.0,experiments/checkpoints/F-SIGMOID-s0-r1.npz,43cc07a80f600daf74afa5262fdd26704eedb29c5636e21fb8fc0a56508ae97e,experiments/logs/F-SIGMOID-s0-r1.jsonl,official_test_not_loaded
F-SIGMOID-s1-r1,adult_binary_classification,V1_activation_family,F-SIGMOID,sigmoid,1,1,scientific,v1_train_validation,primary,completed_valid,q01-ativacoes-adult,5ae67abc0bdd573291b829ebe5d1a05a10561c3b,14e65c20c2312e66ba76e54431b396f60ce65e10,9456044f69d315a04dc7064bbffd57f71b067575c0f2ea24e518c291eddb8c92,8f4e5174a3e562c612f60bf6f45c78ea02a83b77e52e2ac37ca7cc09e25bcfeb,3f27a3e75660eb9ecc892829a79d72887d55601eb71e3bf128b8162344f7142e,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,d34dd1e6783a999faff6e235aefd23cd1e85a06bbe126423aec25bb1d8f867ae,9f26d01931fff3c6fadf485e5d2a03f7d614078daf8388045266cd20e8022dcd,100,Adam,0.01,26049,6512,7106,0.31203137698765987,0.3248923430057685,0.8554263119505547,0.8467444717444718,,848627217,84862721700,84.8627217,94215616,14468.0,experiments/checkpoints/F-SIGMOID-s1-r1.npz,25c17d9c107ddd8bb4349f5e9c79890c46da618ef15880243e203b07bdf62a6f,experiments/logs/F-SIGMOID-s1-r1.jsonl,official_test_not_loaded
F-SIGMOID-s2-r1,adult_binary_classification,V1_activation_family,F-SIGMOID,sigmoid,2,1,scientific,v1_train_validation,primary,completed_valid,q01-ativacoes-adult,5ae67abc0bdd573291b829ebe5d1a05a10561c3b,14e65c20c2312e66ba76e54431b396f60ce65e10,9456044f69d315a04dc7064bbffd57f71b067575c0f2ea24e518c291eddb8c92,8f4e5174a3e562c612f60bf6f45c78ea02a83b77e52e2ac37ca7cc09e25bcfeb,3f27a3e75660eb9ecc892829a79d72887d55601eb71e3bf128b8162344f7142e,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,0310d0d1c0c02d2fc0754b90f2d9b35150972361d64c9333bf52541163c26a29,b0090dc5272e722cc7fc9585f343a4d94f89da01deedfcd9a961e7a4a3aada54,100,Adam,0.01,26049,6512,7106,0.31185680123960263,0.32475160494538047,0.8553879227609505,0.8482800982800983,,848627217,84862721700,84.8627217,94215616,14468.0,experiments/checkpoints/F-SIGMOID-s2-r1.npz,8b83a34f055ca327691bc89bbbd4f300bbc96446eafa72f24fbec9516f69dc03,experiments/logs/F-SIGMOID-s2-r1.jsonl,official_test_not_loaded
F-SWISH-s0-r1,adult_binary_classification,V1_activation_family,F-SWISH,swish,0,1,scientific,v1_train_validation,primary,completed_valid,q01-ativacoes-adult,5ae67abc0bdd573291b829ebe5d1a05a10561c3b,14e65c20c2312e66ba76e54431b396f60ce65e10,9456044f69d315a04dc7064bbffd57f71b067575c0f2ea24e518c291eddb8c92,8f4e5174a3e562c612f60bf6f45c78ea02a83b77e52e2ac37ca7cc09e25bcfeb,3f27a3e75660eb9ecc892829a79d72887d55601eb71e3bf128b8162344f7142e,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,9b1fe0ce77aacdb4ec92847cb6026b61ec028f18a3948ee85873448d664f4596,ed936a5a6214b88eec828301c433182527e15cb69c36e2e49c0e493abef91d06,100,Adam,0.01,26049,6512,7106,0.2931195211000434,0.31657608484236144,0.865829782333295,0.8511977886977887,,850711121,85071112100,85.0711121,94632384,14532.0,experiments/checkpoints/F-SWISH-s0-r1.npz,0898288f9e86a16da5f0cfbea30fafd54286e4ff4f0ad83d5f61b233ad608de9,experiments/logs/F-SWISH-s0-r1.jsonl,official_test_not_loaded
F-SWISH-s1-r1,adult_binary_classification,V1_activation_family,F-SWISH,swish,1,1,scientific,v1_train_validation,primary,completed_valid,q01-ativacoes-adult,5ae67abc0bdd573291b829ebe5d1a05a10561c3b,14e65c20c2312e66ba76e54431b396f60ce65e10,9456044f69d315a04dc7064bbffd57f71b067575c0f2ea24e518c291eddb8c92,8f4e5174a3e562c612f60bf6f45c78ea02a83b77e52e2ac37ca7cc09e25bcfeb,3f27a3e75660eb9ecc892829a79d72887d55601eb71e3bf128b8162344f7142e,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,d34dd1e6783a999faff6e235aefd23cd1e85a06bbe126423aec25bb1d8f867ae,808c070aa3099502d9ac20cb7f2dd1e54d0afd36590063c43a01420084799814,100,Adam,0.01,26049,6512,7106,0.29539093932068994,0.3143107990972248,0.8645245498867519,0.8516584766584766,,850711121,85071112100,85.0711121,94632384,14532.0,experiments/checkpoints/F-SWISH-s1-r1.npz,b45b0112a1f7a90b4c25435bc00f836b8b6d5d186fec4edc64d2fcc84c2890c6,experiments/logs/F-SWISH-s1-r1.jsonl,official_test_not_loaded
F-SWISH-s2-r1,adult_binary_classification,V1_activation_family,F-SWISH,swish,2,1,scientific,v1_train_validation,primary,completed_valid,q01-ativacoes-adult,5ae67abc0bdd573291b829ebe5d1a05a10561c3b,14e65c20c2312e66ba76e54431b396f60ce65e10,9456044f69d315a04dc7064bbffd57f71b067575c0f2ea24e518c291eddb8c92,8f4e5174a3e562c612f60bf6f45c78ea02a83b77e52e2ac37ca7cc09e25bcfeb,3f27a3e75660eb9ecc892829a79d72887d55601eb71e3bf128b8162344f7142e,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,0310d0d1c0c02d2fc0754b90f2d9b35150972361d64c9333bf52541163c26a29,52f64d78aa74c8ac7777c98667135d5cdbacb2d98f29f3f217ef99f1f388976d,100,Adam,0.01,26049,6512,7106,0.2959513848302521,0.3137280763284808,0.8641022688011056,0.8511977886977887,,850711121,85071112100,85.0711121,94632384,14532.0,experiments/checkpoints/F-SWISH-s2-r1.npz,7283425b21885deaf8e69224f45832501deda1f5361e6dc0be7dfc1b1962cacc,experiments/logs/F-SWISH-s2-r1.jsonl,official_test_not_loaded
F-SOFTPLUS-s0-r1,adult_binary_classification,V1_activation_family,F-SOFTPLUS,softplus,0,1,scientific,v1_train_validation,primary,completed_valid,q01-ativacoes-adult,5ae67abc0bdd573291b829ebe5d1a05a10561c3b,14e65c20c2312e66ba76e54431b396f60ce65e10,9456044f69d315a04dc7064bbffd57f71b067575c0f2ea24e518c291eddb8c92,8f4e5174a3e562c612f60bf6f45c78ea02a83b77e52e2ac37ca7cc09e25bcfeb,3f27a3e75660eb9ecc892829a79d72887d55601eb71e3bf128b8162344f7142e,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,9b1fe0ce77aacdb4ec92847cb6026b61ec028f18a3948ee85873448d664f4596,8e3dda11f5f9d46875525f6557d20b1b0fcbba10cbdc4e0a66f0dec82769b154,100,Adam,0.01,26049,6512,7106,0.3103006570086815,0.3246505111400785,0.8558102038465968,0.8485872235872236,,846543313,84654331300,84.6543313,93798848,14404.0,experiments/checkpoints/F-SOFTPLUS-s0-r1.npz,f3534b8cff449672fe7e992069740eba5dcb13e7f85479dac6cdb17f5158e365,experiments/logs/F-SOFTPLUS-s0-r1.jsonl,official_test_not_loaded
F-SOFTPLUS-s1-r1,adult_binary_classification,V1_activation_family,F-SOFTPLUS,softplus,1,1,scientific,v1_train_validation,primary,completed_valid,q01-ativacoes-adult,5ae67abc0bdd573291b829ebe5d1a05a10561c3b,14e65c20c2312e66ba76e54431b396f60ce65e10,9456044f69d315a04dc7064bbffd57f71b067575c0f2ea24e518c291eddb8c92,8f4e5174a3e562c612f60bf6f45c78ea02a83b77e52e2ac37ca7cc09e25bcfeb,3f27a3e75660eb9ecc892829a79d72887d55601eb71e3bf128b8162344f7142e,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,d34dd1e6783a999faff6e235aefd23cd1e85a06bbe126423aec25bb1d8f867ae,dfe6b72dcb0629a36720df05631443a3b96287c44211a7fe2fede8fde453eb71,100,Adam,0.01,26049,6512,7106,0.307901508411628,0.3226461680896275,0.8570770471035356,0.847972972972973,,846543313,84654331300,84.6543313,93798848,14404.0,experiments/checkpoints/F-SOFTPLUS-s1-r1.npz,cb1611a745f2211391d885a19d6581d66cfcc94186ec2d297ec4cb12b7d12985,experiments/logs/F-SOFTPLUS-s1-r1.jsonl,official_test_not_loaded
F-SOFTPLUS-s2-r1,adult_binary_classification,V1_activation_family,F-SOFTPLUS,softplus,2,1,scientific,v1_train_validation,primary,completed_valid,q01-ativacoes-adult,5ae67abc0bdd573291b829ebe5d1a05a10561c3b,14e65c20c2312e66ba76e54431b396f60ce65e10,9456044f69d315a04dc7064bbffd57f71b067575c0f2ea24e518c291eddb8c92,8f4e5174a3e562c612f60bf6f45c78ea02a83b77e52e2ac37ca7cc09e25bcfeb,3f27a3e75660eb9ecc892829a79d72887d55601eb71e3bf128b8162344f7142e,b67c409c6f3fd0bfa90455e629af7d9b672260cb9267ae949103081a3fad1dfa,0,118bb0951fa1e0c4d88a4bbb493635d132492e2a52fb94698b792a99cec47bc0,0310d0d1c0c02d2fc0754b90f2d9b35150972361d64c9333bf52541163c26a29,1b5282cc536c6487e489ed1a668b4c189f91c5a153332a1f7a69b57614dd692b,100,Adam,0.01,26049,6512,7106,0.3058401312306201,0.3201724141129725,0.8584590579292871,0.8499692874692875,,846543313,84654331300,84.6543313,93798848,14404.0,experiments/checkpoints/F-SOFTPLUS-s2-r1.npz,f6cd41cb54800b5c6a24be29a31194eead9d33f09e2f91398bfd2d24fc14019f,experiments/logs/F-SOFTPLUS-s2-r1.jsonl,official_test_not_loaded
